"","year","week","family.density","HRsize"
"1",1,1,1.87755102040816,0.45
"2",1,5,1.87755102040816,0.45
"3",1,9,1.88265306122449,0.45
"4",1,13,1.87244897959184,0.45
"5",1,17,1.88265306122449,0.45
"6",1,21,1.88265306122449,0.45
"7",1,25,1.88265306122449,0.45
"8",1,29,1.88265306122449,0.45
"9",1,33,1.88265306122449,0.45
"10",1,37,1.88265306122449,0.45
"11",1,41,1.88265306122449,0.45
"12",1,45,1.88265306122449,0.45
"13",1,49,1.88265306122449,0.45
"14",2,1,1.88265306122449,0.45
"15",2,5,1.87244897959184,0.45
"16",2,9,1.87755102040816,0.45
"17",2,13,1.87244897959184,0.45
"18",2,17,1.86224489795918,0.45
"19",2,21,1.87244897959184,0.45
"20",2,25,1.88265306122449,0.45
"21",2,29,1.88265306122449,0.45
"22",2,33,1.88265306122449,0.45
"23",2,37,1.87244897959184,0.45
"24",2,41,1.88265306122449,0.45
"25",2,45,1.88265306122449,0.45
"26",2,49,1.88265306122449,0.45
"27",3,1,1.88265306122449,0.45
"28",3,5,1.88265306122449,0.45
"29",3,9,1.88265306122449,0.45
"30",3,13,1.86224489795918,0.45
"31",3,17,1.88265306122449,0.45
"32",3,21,1.88775510204082,0.45
"33",3,25,1.88775510204082,0.45
"34",3,29,1.88775510204082,0.45
"35",3,33,1.88775510204082,0.45
"36",3,37,1.88775510204082,0.45
"37",3,41,1.88775510204082,0.45
"38",3,45,1.88775510204082,0.45
"39",3,49,1.88775510204082,0.45
"40",4,1,1.88775510204082,0.45
"41",4,5,1.88775510204082,0.45
"42",4,9,1.88265306122449,0.45
"43",4,13,1.88265306122449,0.45
"44",4,17,1.88265306122449,0.45
"45",4,21,1.88775510204082,0.45
"46",4,25,1.88775510204082,0.45
"47",4,29,1.88775510204082,0.45
"48",4,33,1.88775510204082,0.45
"49",4,37,1.88775510204082,0.45
"50",4,41,1.88775510204082,0.45
"51",4,45,1.88775510204082,0.45
"52",4,49,1.88775510204082,0.45
"53",5,1,1.88775510204082,0.45
"54",5,5,1.88775510204082,0.45
"55",5,9,1.88265306122449,0.45
"56",5,13,1.88775510204082,0.45
"57",5,17,1.88265306122449,0.45
"58",5,21,1.88265306122449,0.45
"59",5,25,1.88775510204082,0.45
"60",5,29,1.88775510204082,0.45
"61",5,33,1.88775510204082,0.45
"62",5,37,1.88775510204082,0.45
"63",5,41,1.88775510204082,0.45
"64",5,45,1.88775510204082,0.45
"65",5,49,1.88775510204082,0.45
