"","year","week-of-year","fox-family-density","HRsize"
"1",1,1,0.442633670338514,2
"2",1,5,0.437603742266486,2
"3",1,9,0.442633670338514,2
"4",1,13,0.437603742266486,2
"5",1,17,0.437603742266486,2
"6",1,21,0.442633670338514,2
"7",1,25,0.442633670338514,2
"8",1,29,0.442633670338514,2
"9",1,33,0.442633670338514,2
"10",1,37,0.442633670338514,2
"11",1,41,0.442633670338514,2
"12",1,45,0.442633670338514,2
"13",1,49,0.442633670338514,2
"14",2,1,0.442633670338514,2
"15",2,5,0.442633670338514,2
"16",2,9,0.442633670338514,2
"17",2,13,0.442633670338514,2
"18",2,17,0.442633670338514,2
"19",2,21,0.437603742266486,2
"20",2,25,0.442633670338514,2
"21",2,29,0.442633670338514,2
"22",2,33,0.442633670338514,2
"23",2,37,0.442633670338514,2
"24",2,41,0.442633670338514,2
"25",2,45,0.442633670338514,2
"26",2,49,0.442633670338514,2
"27",3,1,0.442633670338514,2
"28",3,5,0.442633670338514,2
"29",3,9,0.442633670338514,2
"30",3,13,0.442633670338514,2
"31",3,17,0.442633670338514,2
"32",3,21,0.442633670338514,2
"33",3,25,0.442633670338514,2
"34",3,29,0.442633670338514,2
"35",3,33,0.442633670338514,2
"36",3,37,0.442633670338514,2
"37",3,41,0.442633670338514,2
"38",3,45,0.442633670338514,2
"39",3,49,0.442633670338514,2
"40",4,1,0.442633670338514,2
"41",4,5,0.442633670338514,2
"42",4,9,0.442633670338514,2
"43",4,13,0.437603742266486,2
"44",4,17,0.437603742266486,2
"45",4,21,0.437603742266486,2
"46",4,25,0.437603742266486,2
"47",4,29,0.437603742266486,2
"48",4,33,0.437603742266486,2
"49",4,37,0.437603742266486,2
"50",4,41,0.437603742266486,2
"51",4,45,0.437603742266486,2
"52",4,49,0.437603742266486,2
"53",5,1,0.437603742266486,2
"54",5,5,0.437603742266486,2
"55",5,9,0.437603742266486,2
"56",5,13,0.437603742266486,2
"57",5,17,0.437603742266486,2
"58",5,21,0.437603742266486,2
"59",5,25,0.437603742266486,2
"60",5,29,0.437603742266486,2
"61",5,33,0.437603742266486,2
"62",5,37,0.437603742266486,2
"63",5,41,0.437603742266486,2
"64",5,45,0.437603742266486,2
"65",5,49,0.432573814194457,2
